   X ,   Y ,   Z ,  X0 ,  Y0 ,  Z0 ,   R ,   U ,   V ,   W ,  CN ,  F1 ,  F2 ,  F3
   0.221180E+02 ,   0.153512E+02 ,   0.111100E+01 ,     22.12 ,     15.35 ,      1.11 ,       1.111009 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   2 ,  -0.290330E+00 ,  -0.220560E+00 ,   0.723184E-02
   0.247420E+02 ,   0.164471E+02 ,   0.101546E+01 ,     24.74 ,     16.45 ,      1.02 ,       1.015517 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   5 ,   0.740918E-01 ,  -0.167609E+00 ,   0.875114E+00
   0.285285E+02 ,   0.168362E+02 ,   0.116134E+01 ,     28.53 ,     16.84 ,      1.16 ,       1.161367 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   4 ,  -0.239526E+00 ,   0.405317E+00 ,   0.680447E+00
   0.285954E+02 ,   0.147671E+02 ,   0.908542E+00 ,     28.60 ,     14.77 ,      0.91 ,       0.908575 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   3 ,  -0.133197E+00 ,   0.564314E-01 ,   0.411478E+00
   0.348894E+02 ,   0.201439E+02 ,   0.905297E+00 ,     34.89 ,     20.14 ,      0.91 ,       0.905312 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   3 ,   0.301870E+00 ,  -0.305072E+00 ,   0.307812E+00
   0.330897E+02 ,   0.172650E+02 ,   0.998905E+00 ,     33.09 ,     17.27 ,      1.00 ,       0.998914 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   1 ,   0.344015E-14 ,  -0.445885E-17 ,   0.152285E-02
   0.363787E+02 ,   0.266010E+02 ,   0.285835E+01 ,     36.38 ,     26.60 ,      2.86 ,       1.103687 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   6 ,   0.156590E+00 ,  -0.450587E+00 ,   0.752028E+00
   0.454459E+02 ,   0.162257E+02 ,   0.119030E+01 ,     45.45 ,     16.23 ,      1.19 ,       1.190348 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   3 ,   0.324964E+00 ,   0.837435E-01 ,   0.681639E+00
   0.585537E+02 ,   0.177938E+02 ,   0.113913E+01 ,     58.55 ,     17.79 ,      1.14 ,       1.139191 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   5 ,  -0.427084E+00 ,  -0.153829E+00 ,   0.821492E+00
   0.509634E+02 ,   0.199851E+02 ,   0.107506E+01 ,     50.96 ,     19.99 ,      1.08 ,       1.075091 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   6 ,   0.261033E+00 ,   0.192590E+00 ,   0.911845E+00
   0.466334E+01 ,   0.216623E+02 ,   0.111591E+01 ,      4.66 ,     21.66 ,      1.12 ,       1.115937 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   4 ,   0.408532E+00 ,  -0.114201E+00 ,   0.724724E+00
   0.624342E+01 ,   0.169654E+02 ,   0.118759E+01 ,      6.24 ,     16.97 ,      1.19 ,       1.187622 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   6 ,   0.106190E+00 ,   0.305976E+00 ,   0.295237E+00
   0.847188E+01 ,   0.150669E+02 ,   0.979746E+00 ,      8.47 ,     15.07 ,      0.98 ,       0.979775 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   4 ,  -0.268834E+00 ,  -0.135799E+00 ,   0.744091E+00
   0.876966E+01 ,   0.118725E+02 ,   0.929919E+00 ,      8.77 ,     11.87 ,      0.93 ,       0.929986 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   3 ,  -0.863631E-01 ,   0.420831E+00 ,   0.117978E+01
   0.100278E+02 ,   0.162133E+02 ,   0.952988E+00 ,     10.03 ,     16.21 ,      0.95 ,       0.953019 ,      0.00000000 ,      0.00000000 ,      0.00000000 ,   3 ,   0.579462E+00 ,  -0.379706E+00 ,   0.682530E+00
